,count,mean,std,min,25%,50%,75%,max
Titel_Laenge,25.00,41.66,18.75,18.91,29.24,39.67,47.17,113.27
Beschreibung_DS_Anteil,25.00,0.96,0.15,0.36,1.00,1.00,1.00,1.00
Beschreibung_Laenge,25.00,433.75,359.08,65.44,186.07,281.79,567.36,1513.92
DS_Autor_valide_Anteil,25.00,0.42,0.38,0.00,0.08,0.35,0.77,1.00
DS_Verwalter_valide_Anteil,25.00,0.23,0.34,0.00,0.00,0.04,0.43,1.00
DS_URL_Anteil,25.00,0.69,0.37,0.00,0.43,0.94,1.00,1.00
DS_geo_Anteil,25.00,0.04,0.20,0.00,0.00,0.00,0.00,1.00
DS_Erstelldatum_Anteil,25.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00
DS_Updatedatum_Anteil,25.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00
Updatedatum_ung_Erstelldatum_Anteil,25.00,0.66,0.34,0.00,0.55,0.77,0.94,0.99
DS_mit_Tags_Anteil,25.00,0.94,0.15,0.22,0.95,0.99,1.00,1.00
Tags_pro_DS_Durchschnitt,25.00,3.45,3.35,0.45,1.45,2.15,4.25,16.11
DS_mit_Gruppen_Anteil,25.00,0.67,0.43,0.00,0.17,0.93,0.99,1.00
Gruppen_pro_DS_Durchschnitt,25.00,0.82,0.59,0.00,0.21,0.98,1.03,2.00
Lizenzen_einz,25.00,4.40,5.89,0.00,1.00,3.00,5.00,30.00
DS_mit_Lizenz_Anteil,25.00,0.89,0.28,0.00,0.98,1.00,1.00,1.00
DS_mit_Lizenz_offen_Anteil,25.00,0.88,0.28,0.00,0.92,0.99,1.00,1.00
Roh,25.00,13028.72,48151.27,21.00,234.00,604.00,2623.00,241989.00
Roh_pro_DS,25.00,4.34,2.73,1.24,2.17,3.61,5.39,11.30
online_Anteil,25.00,0.96,0.06,0.73,0.96,0.99,1.00,1.00
Link_intern_Anteil,25.00,0.52,0.39,0.00,0.07,0.55,0.85,1.00
Name_Anteil,25.00,0.94,0.18,0.15,1.00,1.00,1.00,1.00
DS_Name_einz_Anteil,25.00,0.65,0.32,0.00,0.44,0.77,0.93,0.98
Name_einz_Laenge,25.00,53.36,45.65,10.00,32.33,40.00,56.00,247.01
Beschreibung_Roh_Anteil,25.00,0.65,0.36,0.00,0.44,0.82,0.99,1.00
Beschreibung_Roh_Laenge,25.00,196.87,178.56,0.00,61.93,127.27,393.38,549.32
Roh_Erstelldatum_Anteil,25.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00
Roh_Updatedatum_Anteil,25.00,0.62,0.45,0.00,0.06,0.96,1.00,1.00
Roh_Updatedatum_ung_Erstelldatum_Anteil,25.00,0.29,0.31,0.00,0.00,0.14,0.51,0.89
Dateityp_einz,25.00,0.36,1.25,0.00,0.00,0.00,0.00,6.00
Dateityp_gegeben_Anteil,25.00,0.08,0.28,0.00,0.00,0.00,0.00,1.00
DateitypReal_einz,25.00,14.20,12.64,2.00,6.00,10.00,16.00,50.00
DateitypReal_gegeben_Anteil,25.00,0.97,0.06,0.74,0.97,0.99,1.00,1.00
DateitypReal_einz_DS_Durchschnitt,25.00,2.02,1.30,1.02,1.29,1.55,2.00,5.95
Roh_ML_Anteil,25.00,0.55,0.29,0.00,0.33,0.55,0.81,1.00
Roh_offen_Anteil,25.00,0.81,0.19,0.16,0.72,0.85,0.95,1.00
Roh_validierbar_Anteil,25.00,0.45,0.30,0.00,0.23,0.41,0.77,0.97
valid_0_Anteil,25.00,0.12,0.11,0.00,0.03,0.10,0.19,0.36
valid_1_Anteil,25.00,0.32,0.28,0.00,0.07,0.27,0.49,0.94
valid_2_Anteil,25.00,0.52,0.28,0.03,0.23,0.57,0.67,1.00
valid_3_Anteil,25.00,0.01,0.04,0.00,0.00,0.00,0.01,0.17
valid_4_Anteil,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
valid_5_Anteil,25.00,0.02,0.07,0.00,0.00,0.00,0.01,0.34
Fehler_Durchschnitt,25.00,116.11,141.27,0.00,16.34,56.59,179.32,465.30
Fehler_validierbar_Durchschnitt,25.00,40.71,62.71,0.00,2.56,18.59,36.56,253.29
Roh_Fehler_Zelle_Anteil,25.00,0.04,0.09,0.00,0.00,0.01,0.03,0.40
Roh_Fehler_Reihe_Anteil,25.00,0.16,0.22,0.00,0.00,0.09,0.16,0.84
Roh_Fehler_Label_Anteil,25.00,0.19,0.23,0.00,0.00,0.14,0.32,0.86
Fehler_Zelle_Anteil,25.00,0.23,0.35,0.00,0.00,0.02,0.34,1.00
Fehler_Reihe_Anteil,25.00,0.16,0.21,0.00,0.00,0.05,0.24,0.67
Fehler_Label_Anteil,25.00,0.18,0.27,0.00,0.00,0.04,0.26,0.97
Dateigroesse_Durchschnitt,25.00,742230.19,1285757.62,0.00,71912.75,215261.00,545358.00,5394191.00
Dateigroesse_min,25.00,277.96,546.73,0.00,5.00,85.00,333.00,2710.00
Dateigroesse_max,25.00,54166824.00,118526816.00,0.00,3433600.00,13497547.00,31462856.00,507275552.00
Dateigroesse_Summe,25.00,1740056064.00,7083848704.00,0.00,10513449.00,93941408.00,366171552.00,35634024448.00
