ID,Portal,URL,DS
0,Transparenzportal Hamburg,http://suche.transparenz.hamburg.de,146591
1,OGD Portal Rheinland-Pfalz,https://daten.rlp.de/,4824
2,Offene Daten Köln,https://offenedaten-koeln.de/,295
3,Open Data Portal Aachen,https://offenedaten.aachen.de,83
4,Offene Daten kdvz Rhein-Erft-Ruhr,https://offenedaten.kdvz-frechen.de,386
5,Bundesanstalt für Landwirtschaft und Ernährung,https://open-data.ble.de,139
6,Das Open-Government-Portal in NRW,https://open.nrw/,4345
7,Open Data Duisburg,https://opendata-duisburg.de/,64
8,Offene Daten Bonn,https://opendata.bonn.de/,315
9,Open Data Düsseldorf,https://opendata.duesseldorf.de,261
10,Offene Daten Essen,https://opendata.essen.de,40
11,Offene Daten Gelsenkirchen,https://opendata.gelsenkirchen.de/,71
12,Offene Daten der Stadt Leipzig,https://opendata.leipzig.de/,705
13,Open-Data-Portal der Stadt Meerbusch,https://opendata.meerbusch.de,41
14,Open-Data-Portal des Rhein-Neckar-Verkehrs,https://opendata.rnv-online.de,8
15,Regionalverband Ruhr,https://opendata.ruhr/,1092
16,OpenData Schleswig-Holstein,https://opendata.schleswig-holstein.de,11292
17,Offene Daten MÃ¼nster,https://opendata.stadt-muenster.de/,108
18,VAG Verkehrs-Aktiengesellschaft Nürnberg,https://opendata.vag.de/,12
19,Open Data Portal der Stadt Chemnitz,https://portal-chemnitz.opendata.arcgis.com/,77
20,Baden-Württemberg Mobidata,https://www.mobidata-bw.de,54
21,Offene Daten Wuppertal,https://www.offenedaten-wuppertal.de/,91
22,Offenesdatenportal,https://www.offenesdatenportal.de/,949
23,Open Data Rostock,https://www.opendata-hro.de/,225
24,München,https://www.opengov-muenchen.de/,166
